"No.","Symbol","Company Name","Market Cap","% Change","Volume","Revenue"
1,"CRM","Salesforce, Inc.","263.43B","-2.75%","5,178,353","34.86B"
2,"SAP","SAP SE","228.21B","0.19%","465,214","34.50B"
3,"INTU","Intuit Inc.","170.71B","-8.05%","2,760,756","15.81B"
4,"NOW","ServiceNow, Inc.","152.18B","-2.22%","710,080","9.48B"
5,"UBER","Uber Technologies, Inc.","134.26B","0.94%","5,734,406","38.59B"
6,"CDNS","Cadence Design Systems, Inc.","80.68B","0.53%","509,631","4.08B"
7,"SHOP","Shopify Inc.","73.68B","-0.76%","5,442,804","7.41B"
8,"WDAY","Workday, Inc.","58.65B","-15.18%","10,946,233","7.26B"
9,"ROP","Roper Technologies, Inc.","58.56B","0.28%","153,662","6.39B"
10,"SNOW","Snowflake Inc.","52.66B","1.95%","4,232,986","2.81B"
11,"TTD","The Trade Desk, Inc.","46.42B","2.55%","1,004,708","2.05B"
12,"ADSK","Autodesk, Inc.","46.35B","-0.12%","622,435","5.35B"
13,"TEAM","Atlassian Corporation","44.32B","-2.37%","955,605","4.17B"
14,"DDOG","Datadog, Inc.","41.71B","1.98%","1,405,295","2.26B"
15,"FICO","Fair Isaac Corporation","34.16B","2.11%","91,232","1.60B"
16,"HUBS","HubSpot, Inc.","30.06B","-0.92%","331,978","2.29B"
17,"MSTR","MicroStrategy Incorporated","29.55B","8.19%","768,760","489.59M"
18,"ANSS","ANSYS, Inc.","29.11B","1.56%","165,358","2.23B"
19,"APP","AppLovin Corporation","26.91B","3.27%","2,486,800","3.63B"
20,"PTC","PTC Inc.","21.95B","0.37%","250,184","2.24B"
21,"TYL","Tyler Technologies, Inc.","20.91B","0.50%","32,329","1.99B"
22,"ZM","Zoom Video Communications, Inc.","19.54B","1.12%","6,068,511","4.56B"
23,"BSY","Bentley Systems, Incorporated","15.99B","1.17%","560,672","1.25B"
24,"SSNC","SS&C Technologies Holdings, Inc.","15.26B","-0.42%","521,888","5.58B"
25,"MANH","Manhattan Associates, Inc.","14.10B","1.54%","231,367","962.26M"
26,"GRAB","Grab Holdings Limited","14.05B","-0.27%","13,987,233","2.49B"
27,"AZPN","Aspen Technology, Inc.","14.02B","1.45%","31,405","1.11B"
28,"DT","Dynatrace, Inc.","13.95B","-0.97%","1,279,493","1.43B"
29,"NICE","NICE Ltd.","11.99B","0.24%","235,475","2.46B"
30,"MNDY","monday.com Ltd.","11.95B","-0.48%","327,845","784.35M"
31,"DOCU","DocuSign, Inc.","11.62B","-1.01%","564,922","2.76B"
32,"ESTC","Elastic N.V.","10.61B","-0.75%","448,039","1.21B"
33,"PCOR","Procore Technologies, Inc.","10.09B","1.22%","419,780","1.01B"
34,"GWRE","Guidewire Software, Inc.","10.05B","-0.67%","160,707","925.75M"
35,"PAYC","Paycom Software, Inc.","9.87B","-2.26%","369,428","1.74B"
36,"YMM","Full Truck Alliance Co. Ltd.","9.50B","-0.90%","11,800,327","1.25B"
37,"DAY","Dayforce Inc","8.83B","-7.71%","1,411,725","1.57B"
38,"PCTY","Paylocity Holding Corporation","8.77B","-5.49%","347,549","1.35B"
39,"APPF","AppFolio, Inc.","8.57B","-1.61%","72,948","671.78M"
40,"DSGX","The Descartes Systems Group Inc.","8.52B","0.85%","73,442","572.93M"
41,"OTEX","Open Text Corporation","8.21B","-0.99%","237,406","5.90B"
42,"DUOL","Duolingo, Inc.","7.72B","1.74%","267,385","583.00M"
43,"U","Unity Software Inc.","7.59B","-0.82%","4,971,182","2.15B"
44,"LYFT","Lyft, Inc.","6.20B","1.52%","3,306,431","4.68B"
45,"RBRK","Rubrik, Inc.","5.97B","3.60%","299,896","627.89M"
46,"BILL","BILL Holdings Inc","5.54B","-0.82%","703,269","1.24B"
47,"SMAR","Smartsheet Inc.","5.47B","-2.46%","443,962","958.34M"
48,"VERX","Vertex, Inc.","5.27B","0.81%","182,715","596.42M"
49,"PEGA","Pegasystems Inc.","5.08B","-1.50%","353,266","1.44B"
50,"ZI","ZoomInfo Technologies Inc.","4.83B","0.78%","1,384,376","1.25B"
51,"CVLT","Commvault Systems, Inc.","4.81B","0.10%","74,790","839.25M"
52,"CWAN","Clearwater Analytics Holdings, Inc.","4.68B","-0.42%","258,225","386.28M"
53,"ALIT","Alight, Inc.","4.57B","-0.60%","3,378,927","3.14B"
54,"WK","Workiva Inc.","4.36B","-1.28%","106,536","655.52M"
55,"BRZE","Braze, Inc.","4.20B","0.88%","123,316","471.80M"
56,"BLKB","Blackbaud, Inc.","4.08B","-0.52%","81,474","1.12B"
57,"FRSH","Freshworks Inc.","3.95B","-0.79%","1,181,868","623.88M"
58,"ENV","Envestnet, Inc.","3.82B","1.05%","126,907","1.27B"
59,"ZETA","Zeta Global Holdings Corp.","3.75B","-0.32%","985,765","766.07M"
60,"QTWO","Q2 Holdings, Inc.","3.73B","1.04%","63,429","637.12M"
61,"FROG","JFrog Ltd.","3.56B","-1.23%","286,068","370.38M"
62,"NCNO","nCino, Inc.","3.50B","-0.74%","267,864","476.54M"
63,"PWSC","PowerSchool Holdings, Inc.","3.47B","0.82%","565,549","723.16M"
64,"ALRM","Alarm.com Holdings, Inc.","3.38B","-0.21%","84,897","895.25M"
65,"ASAN","Asana, Inc.","3.32B","-1.53%","729,795","652.50M"
66,"CXM","Sprinklr, Inc.","3.26B","0.58%","312,482","732.36M"
67,"DV","DoubleVerify Holdings, Inc.","3.22B","0.54%","502,675","590.73M"
68,"INST","Instructure Holdings, Inc.","3.18B","0.83%","153,415","556.82M"
69,"RNG","RingCentral, Inc.","3.18B","-0.32%","355,588","2.25B"
70,"SRAD","Sportradar Group AG","3.12B","0.97%","96,484","1.02B"
71,"BL","BlackLine, Inc.","3.09B","-1.54%","537,024","608.47M"
72,"IBTA","Ibotta, Inc.","2.89B","2.66%","31,233","320.04M"
73,"AI","C3.ai, Inc.","2.86B","0.77%","1,909,242","296.40M"
74,"AGYS","Agilysys, Inc.","2.86B","3.02%","151,585","237.46M"
75,"IDCC","InterDigital, Inc.","2.80B","0.93%","271,668","610.76M"
76,"GBTG","Global Business Travel Group, Inc.","2.74B","-0.17%","127,446","2.32B"
77,"RUM","Rumble Inc.","2.74B","0.64%","393,591","81.08M"
78,"ALKT","Alkami Technology, Inc.","2.67B","1.86%","118,226","280.96M"
